service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10857,1,1,1,1,1,1,0,20140712,20141208
10164,0,0,0,0,0,0,1,20140713,20141207
10074,1,1,1,1,1,0,0,20140715,20141208
11343,0,0,0,0,0,1,0,20140712,20141206
11347,0,0,0,0,0,0,1,20140713,20140824
11318,0,0,0,0,0,0,1,20140831,20141207
11348,1,1,1,1,1,0,0,20140715,20141208
10017,1,1,1,1,1,0,0,20140825,20141208
11349,0,0,0,0,0,1,0,20140712,20141206
11346,1,1,1,1,1,0,0,20140818,20141208
11344,1,0,0,0,0,0,0,20140714,20141208
11342,0,0,0,0,1,0,0,20140718,20141205
10896,1,1,1,1,1,0,0,20140721,20141208
11345,1,0,0,0,0,0,1,20140713,20140720
11339,1,1,1,1,1,1,0,20140825,20141208
11340,1,1,1,1,1,0,0,20140715,20141208
11341,0,0,0,0,0,0,1,20140721,20141207
10166,1,1,1,1,1,1,0,20140712,20140830
10165,1,0,0,0,0,0,0,20140721,20141208
10168,1,1,1,1,1,0,0,20140715,20140829
10167,1,1,1,1,1,1,0,20140901,20141208
10163,1,1,1,1,1,1,0,20140712,20141208
10162,0,0,0,0,1,0,0,20140718,20141205
10170,0,0,0,0,0,0,1,20140907,20141207
10169,0,0,0,0,0,0,1,20140713,20140831
10171,0,0,0,0,1,0,0,20140905,20141205
10173,1,1,1,1,1,0,0,20140901,20141208
10175,1,1,1,1,0,0,0,20140901,20141208
10174,0,0,0,0,0,1,0,20140906,20141206
10172,0,0,0,0,1,0,0,20140718,20140829
10319,0,0,0,0,0,1,0,20140712,20141206
10321,0,0,0,0,0,1,1,20140712,20141207
10073,1,1,1,1,1,1,1,20140712,20141208
10161,0,0,1,0,0,1,0,20140903,20141206
10160,1,1,1,1,1,1,0,20140901,20141208
10159,1,0,0,0,0,0,0,20140901,20141208
9997,0,0,0,0,1,0,0,20140822,20140829
9988,0,0,0,0,1,0,0,20140808,20140815
9992,1,1,1,1,0,0,1,20140804,20140818
9989,1,1,1,1,0,0,1,20140819,20140831
9990,0,0,0,0,0,1,0,20140823,20140830
11276,0,1,1,1,1,1,0,20140712,20140719
9995,1,1,1,1,1,0,1,20140804,20140818
11353,1,1,1,1,1,1,0,20140825,20141208
10134,1,1,1,1,1,1,0,20140715,20140823
10100,1,1,1,1,1,0,0,20140715,20140822
11322,1,1,1,1,1,0,0,20140728,20140822
10030,1,1,1,1,1,1,0,20140712,20141208
11325,1,1,1,1,1,0,0,20140715,20141208
11351,0,0,0,0,0,1,1,20140712,20141207
11352,0,0,0,0,0,1,1,20140713,20140824
10028,0,0,0,0,0,1,0,20140712,20141206
10187,0,0,0,0,0,1,0,20140719,20140823
11326,0,0,0,0,0,0,1,20140727,20140824
11321,0,0,0,0,0,1,1,20140726,20140824
11324,0,0,0,0,0,0,1,20140713,20141207
11329,0,0,0,0,0,1,1,20140712,20141207
10524,1,1,1,1,1,0,0,20140715,20140725
11350,1,1,1,1,1,0,0,20140728,20141208
11327,1,1,1,1,1,1,1,20140712,20141208
11338,1,1,1,1,1,1,0,20140726,20140823
9996,0,0,0,0,0,1,0,20140802,20140830
10322,1,1,1,1,1,0,1,20140713,20141208
11355,0,0,0,0,0,1,0,20140830,20141206
11354,1,1,1,1,1,0,0,20140818,20141208
11357,1,1,1,1,1,1,0,20140715,20141208
11356,1,1,1,1,1,1,1,20140825,20141208
11360,0,0,0,0,0,1,0,20140830,20141206
11361,0,0,0,0,0,1,0,20140712,20140823
11359,0,0,0,0,0,1,1,20140830,20141207
11358,0,0,0,0,0,1,1,20140712,20140824
11362,1,1,1,1,1,1,0,20140712,20140823
11378,0,0,0,0,0,0,1,20140713,20140831
11379,1,1,1,1,1,0,0,20140714,20140829
11375,0,0,0,0,0,1,0,20140906,20141206
11377,0,0,0,0,0,1,0,20140712,20140830
11383,1,1,1,1,1,0,0,20140901,20141208
11384,0,0,0,0,1,0,0,20140905,20141205
11376,0,0,0,0,0,0,1,20140907,20141207
11374,1,0,0,0,0,0,0,20140901,20141208
11380,0,0,1,0,0,0,0,20140903,20141203
11381,1,1,1,1,1,0,0,20140714,20141208
10219,0,0,0,0,0,1,1,20140728,20140803
10785,1,1,1,1,1,0,0,20140908,20140912
11366,0,0,0,0,0,0,1,20140720,20140803
10784,0,1,1,1,1,1,0,20140909,20140913
10116,0,1,1,1,0,0,0,20140715,20140717
10802,1,1,1,0,0,0,0,20140714,20140716
10806,1,1,1,1,1,0,0,20140728,20141003
10800,1,1,1,1,1,0,0,20140922,20140926
10794,1,1,1,1,1,0,0,20140901,20140907
10797,0,1,1,1,1,1,0,20140729,20140830
10798,1,1,1,1,1,0,0,20140728,20140829
10799,0,1,1,1,1,1,0,20140923,20140927
10269,0,0,0,0,0,1,0,20140719,20140726
10722,0,0,0,0,0,1,1,20140804,20140824
10243,1,1,1,1,1,0,0,20140901,20140905
10720,1,1,1,1,1,0,0,20140818,20140829
10721,0,0,0,0,0,1,1,20140720,20140803
10724,0,0,0,0,0,0,1,20140720,20140803
10723,1,1,1,1,1,0,0,20140721,20140801
10521,0,0,0,0,0,1,1,20140712,20140713
10715,0,0,0,0,0,1,1,20140720,20140824
10718,1,0,0,0,0,0,1,20140810,20140829
10697,0,0,0,0,0,0,1,20140721,20140824
10699,1,0,0,0,0,0,1,20140804,20140825
10698,1,0,0,0,0,0,1,20140721,20140825
10228,0,0,0,0,0,0,1,20140720,20140727
10490,1,0,0,0,0,0,1,20140811,20140825
10719,0,0,0,0,0,0,1,20140804,20140824
10702,0,0,0,0,0,0,1,20140721,20140803
10691,0,1,1,1,1,1,0,20140819,20140906
10688,1,1,1,1,1,0,0,20140818,20140905
10795,1,1,1,1,1,0,0,20140915,20140921
10725,1,1,1,1,1,1,0,20140819,20140908
10727,1,1,1,1,1,1,0,20140901,20140908
10726,0,1,1,1,1,1,0,20140819,20140830
10850,0,0,0,0,0,1,1,20140712,20140713
11578,1,1,0,0,0,0,0,20140714,20140715
11701,0,1,1,1,1,1,0,20140712,20141206
11372,0,1,1,1,1,1,0,20140715,20140810
11373,1,1,1,1,1,0,0,20140715,20140810
