service_id,date,exception_type
10857,20140714,2
10857,20141111,2
10857,20140815,2
10164,20141101,1
10164,20140815,1
10164,20141111,1
10164,20140714,1
10074,20141111,2
10074,20140815,2
11343,20140719,2
11343,20140726,2
11343,20140802,2
11343,20140809,2
11343,20140816,2
11343,20140823,2
11347,20140815,1
11347,20140714,1
11318,20141101,1
11318,20141111,1
11348,20140719,1
11348,20141111,2
11348,20140815,2
10017,20141111,2
11349,20140719,2
11346,20140726,1
11346,20140802,1
11346,20140809,1
11346,20140823,1
11346,20140719,1
11346,20140715,1
11346,20140716,1
11346,20140717,1
11346,20140718,1
11346,20140721,1
11346,20140722,1
11346,20140723,1
11346,20140724,1
11346,20140725,1
11346,20140728,1
11346,20140729,1
11346,20140730,1
11346,20140731,1
11346,20140801,1
11346,20140804,1
11346,20140805,1
11346,20140806,1
11346,20140807,1
11346,20140808,1
11346,20141111,2
11346,20140815,2
11344,20140721,2
11344,20140728,2
11344,20140804,2
11344,20140811,2
11344,20140818,2
11342,20140725,2
11342,20140801,2
11342,20140808,2
11342,20140815,2
11342,20140822,2
10896,20141111,2
10896,20140815,2
11339,20141111,2
11340,20141111,2
11340,20140721,2
11340,20140722,2
11340,20140723,2
11340,20140724,2
11340,20140725,2
11340,20140728,2
11340,20140729,2
11340,20140730,2
11340,20140731,2
11340,20140801,2
11340,20140804,2
11340,20140805,2
11340,20140806,2
11340,20140807,2
11340,20140808,2
11340,20140811,2
11340,20140812,2
11340,20140813,2
11340,20140814,2
11340,20140815,2
11340,20140818,2
11340,20140819,2
11340,20140820,2
11340,20140821,2
11340,20140822,2
11341,20141101,1
11341,20141111,1
11341,20140714,1
11341,20140727,2
11341,20140803,2
11341,20140810,2
11341,20140817,2
11341,20140824,2
10166,20140714,2
10166,20140815,2
10165,20141112,1
10168,20140815,2
10167,20141111,2
10167,20141101,2
10163,20140714,2
10163,20141111,2
10163,20140815,2
10163,20141101,2
10162,20140815,2
10170,20141101,1
10170,20141111,1
10169,20140815,1
10169,20140714,1
10173,20141111,2
10175,20141111,2
10174,20141101,2
10172,20140815,2
10319,20141101,2
10321,20140815,1
10321,20141111,1
10321,20140714,1
10161,20141022,2
10161,20141025,2
10161,20141029,2
10161,20141101,2
10160,20141111,2
10160,20141020,2
10160,20141021,2
10160,20141022,2
10160,20141023,2
10160,20141024,2
10160,20141025,2
10160,20141027,2
10160,20141028,2
10160,20141029,2
10160,20141030,2
10160,20141031,2
10160,20141101,2
10159,20141112,1
9998,20140809,1
9994,20140816,1
11353,20141111,2
11353,20141101,2
10134,20140815,2
10100,20140815,2
11322,20140815,2
10494,20140712,1
10030,20141111,2
10030,20141101,2
10030,20140714,2
10030,20140715,2
10030,20140716,2
10030,20140717,2
10030,20140718,2
10030,20140719,2
10030,20140721,2
10030,20140722,2
10030,20140723,2
10030,20140724,2
10030,20140725,2
10030,20140726,2
10030,20140728,2
10030,20140729,2
10030,20140730,2
10030,20140731,2
10030,20140801,2
10030,20140802,2
10030,20140804,2
10030,20140805,2
10030,20140806,2
10030,20140807,2
10030,20140808,2
10030,20140809,2
10030,20140811,2
10030,20140812,2
10030,20140813,2
10030,20140814,2
10030,20140815,2
10030,20140816,2
10030,20140818,2
10030,20140819,2
10030,20140820,2
10030,20140821,2
10030,20140822,2
10030,20140823,2
11325,20141111,2
11325,20140728,2
11325,20140729,2
11325,20140730,2
11325,20140731,2
11325,20140801,2
11325,20140804,2
11325,20140805,2
11325,20140806,2
11325,20140807,2
11325,20140808,2
11325,20140811,2
11325,20140812,2
11325,20140813,2
11325,20140814,2
11325,20140815,2
11325,20140818,2
11325,20140819,2
11325,20140820,2
11325,20140821,2
11325,20140822,2
11351,20141111,1
11351,20140719,2
11351,20140720,2
11351,20140726,2
11351,20140727,2
11351,20140802,2
11351,20140803,2
11351,20140809,2
11351,20140810,2
11351,20140816,2
11351,20140817,2
11351,20140823,2
11351,20140824,2
11351,20140713,2
11352,20140815,1
11352,20140714,1
10028,20140719,2
10028,20140726,2
10028,20140802,2
10028,20140809,2
10028,20140816,2
10028,20140823,2
10028,20141101,2
11326,20140815,1
11321,20140815,1
11324,20141101,1
11324,20141111,1
11324,20140714,1
11324,20140727,2
11324,20140803,2
11324,20140810,2
11324,20140817,2
11324,20140824,2
11329,20141111,1
11329,20140714,1
11329,20140726,2
