route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
DUA800853100,DUA853,"TER","Beauvais &lt;=&gt; Beauvais Tillé Aéroport",,2,,000000,
DUA800803102,DUA803,"TER","Bonneval &lt;=&gt; Châteaudun",,2,,000000,
DUA800853103,DUA853,"TER","Chantilly Gouvieux &lt;=&gt; Senlis",,2,,000000,
DUA800804100,DUA804,"D","Corbeil Essonnes - Le Coudray Montceaux",,3,,000000,
DUA800803101,DUA803,"Bus","Dourdan &lt;=&gt; Châteaudun",,3,,000000,
DUA800804181,DUA804,"D","Evry Courcouronnes Centre - Evry Val de Seine",,3,,000000,
DUA800852105,DUA852,"N","Gare Montparnasse <=> Rambouillet",,3,,000000,
DUA800804179,DUA804,"D","Grigny Centre - Juvisy",,3,,000000,
DUA800804182,DUA804,"D","Le Bras de Fer Evry - Evry Val de Seine",,3,,000000,
DUA800854100,DUA854,"J","Les Mureaux <=> Conflans Ste Honorine",,3,,000000,
DUA800854101,DUA854,"J","Mantes la Jolie <=> Les Mureaux",,3,,000000,
DUA800853104,DUA853,"Bus","Nanteuil le Haudouin <=> Crépy en Valois",,3,,000000,
DUA800804180,DUA804,"D","Orangis Bois de l'Epine - Ris Orangis",,3,,000000,
DUA800852149,DUA852,"Bus","Pereire Levallois - Ampère Wagram",,3,,000000,
DUA800852151,DUA852,"Bus","Pont Cardinet - Pereire Saussure",,3,,000000,
DUA800853106,DUA853,"Bus","Senlis <=> Chantilly Gouvieux",,3,,000000,
DUA800853105,DUA853,"Bus","Senlis <=> Creil",,3,,000000,
DUA800853551,DUA853,"Bus","Spécial Travaux Creil - Beauvais",,3,,000000,
DUA800853552,DUA853,"Spécial Tr","Spécial Travaux Pontoise - Gare du Nord GL",,3,,,
DUA800853555,DUA853,"Spécial Tr","Spécial Travaux Epinay Villetaneuse - Pontoise",,3,,,
DUA800805503,DUA805,"Spécial Tr","Spécial Travaux Villiers sur Marne - Gare de l'Est",,3,,,
DUA800805529,DUA805,"Spécial Tr","Spécial Travaux Raincy Villemomble - Vaires Torcy",,3,,,
DUA800805520,DUA805,"Spécial Tr","Spécial Travaux Bondy - Tournan",,3,,,
DUA800805528,DUA805,"Spécial Tr","Spécial Travaux Tournan - Emerainville Pontault Combault",,3,,,
DUA800805519,DUA805,"Spécial Tr","Spécial Travaux Le Raincy Villemomble - Chelles Gournay",,3,,,
DUA800805506,DUA805,"Spécial Tr","Spécial Travaux Tournan - Villiers sur Marne",,3,,,
DUA800805515,DUA805,"Spécial Tr","Spécial Travaux Bondy - Villiers sur Marne",,3,,,
DUA800804538,DUA804,"Spécial Tr","Spécial Travaux Orry la Ville Coye La Forêt - Gare de l'Est via Survilliers Fosses",,3,,,
DUA800804539,DUA804,"Spécial Tr","Spécial Travaux Corbeil Essonnes - La Ferté Alais",,3,,,
DUA800804542,DUA804,"Spécial Tr","Spécial Travaux Melun - Gare de Lyon",,3,,,
DUA800804527,DUA804,"Spécial Tr","Spécial Travaux Goussainville - Gare de l'Est",,3,,000000,
DUA800804529,DUA804,"Spécial Tr","Spécial Travaux Melun - Corbeil Essonnes",,3,,,
DUA800804530,DUA804,"Spécial Tr","Spécial Travaux Stade De France St Denis - Goussainville",,3,,000000,
DUA800854504,DUA854,"Spécial Tr","Spécial Travaux Conflans Ste Honorine - Pontoise",,3,,,
DUA800805500,DUA805,"Spécial Tr","Spécial Travaux Nogent le Perreux - Tournan",,3,,,
DUA800805501,DUA805,"Spécial Tr","Spécial Travaux Villiers Sur Marne - Nogent Le Perreux",,3,,,
DUA800804560,DUA804,"Spécial Tr","Spécial Travaux Goussainville - Creil",,3,,,
DUA800854531,DUA854,"Spécial Tr","Spécial Travaux Poissy - Sartrouville",,3,,,
DUA800854518,DUA854,"Spécial Tr","Spécial Travaux Poissy - Mantes la Jolie",,3,,,
DUA800853509,DUA853,"Spécial Tr","Spécial Travaux Epinay Villetaneuse - Persan Beaumont via Meriel",,3,,000000,
DUA800853508,DUA853,"Spécial Tr","Spécial Travaux Ermont Eaubonne - Gare du Nord Surface",,3,,000000,
DUA800851503,DUA851,"Spécial Tr","Spécial Travaux Melun - Montereau via Moret",,3,,000000,
DUA800853510,DUA853,"Spécial Tr","Spécial Travaux Ermont Eaubonne - Persan Beaumont",,3,,,
DUA800850557,DUA805,"Spécial Tr","Spécial Travaux Chelles Gournay - Rosny Bois Perrier",,3,,,
DUA800850559,DUA850,"Spécial Tr","Spécial Travaux La Ferté milon - Lizy sur Ourcq",,3,,,
DUA800850561,DUA850,"Spécial Tr","Spécial Travaux Château Thierry - Gare de l'Est via Meaux",,3,,,
DUA800852514,DUA852,"Spécial Tr","Spécial Travaux Versailles Chantiers - Rambouillet",,3,,,
DUA800852518,DUA852,"Spécial Tr","Spécial Travaux Mantes la Jolie - Plaisir Grignon",,3,,000000,
DUA800852525,DUA852,"Spécial Tr","Spécial Travaux Dreux - Gare Montparnasse",,3,,,
DUA800852509,DUA852,"Spécial Tr","Spécial Travaux Versailles Chantiers - Dreux",,3,,,
DUA800851510,DUA851,"Spécial Tr","Spécial Travaux Laroche-Migennes - Montereau",,3,,,
DUA800851511,DUA851,"Spécial Tr","Spécial Travaux Laroche-Migennes - Sens",,3,,,
DUA800852527,DUA852,"Spécial Tr","Spécial Travaux Gare Montparnasse - Versailles Chantiers",,3,,,
DUA800850508,DUA850,"Spécial Tr","Spécial Travaux Meaux - La Ferté Milon",,3,,,
DUA800850512,DUA850,"Spécial Tr","Spécial Travaux Chelles Gournay - Le Raincy Villemomble",,3,,,
DUA800850516,DUA850,"Spécial Tr","Spécial Travaux Tournan - Gretz Armainvilliers",,3,,,
DUA800850507,DUA850,"Spécial Tr","Spécial Travaux Meaux - Chelles Gournay",,3,,,
DUA800853522,DUA853,"Spécial Tr","Spécial Travaux Montsoult Maffliers - Luzarches",,3,,,
DUA800853520,DUA853,"Spécial Tr","Spécial Travaux Epinay Villetaneuse - Ermont Eaubonne",,3,,,
DUA800850505,DUA850,"Spécial Tr","Spécial Travaux Chelles Gournay - Chateau Thierry",,3,,000000,
DUA800850543,DUA850,"Spécial Tr","Spécial Travaux Meaux - Gare de l'Est",,3,,,
DUA800850550,DUA850,"Spécial Tr","Spécial Travaux Chelles Gournay - Gare de l'Est",,3,,,
DUA800850554,DUA850,"Spécial Tr","Spécial Travaux Coulommiers - Gare de l'Est",,3,,,
DUA800850542,DUA850,"Spécial Tr","Spécial Travaux Provins - Gare de l'Est",,3,,,
DUA800850518,DUA850,"Spécial Tr","Spécial Travaux Gare de l'Est - Chateau Thierry",,3,,000000,
DUA800850534,DUA850,"Spécial Tr","Spécial Travaux Tournan - Nogent le Perreux",,3,,,
DUA800850537,DUA850,"Spécial Tr","Spécial Travaux Tournan - Gare de l'Est",,3,,,
DUA800803563,DUA803,"Spécial Tr","Spécial Travaux Etampes - St Martin d'Etampes",,3,,,
DUA800803567,DUA803,"Spécial Tr","Spécial Travaux Invalides - St Quentin en Yvelines",,3,,,
DUA800803549,DUA803,"Spécial Tr","Spécial Travaux Brétigny - Austerlitz",,3,,,
DUA800803551,DUA803,"Spécial Tr","Spécial Travaux Austerlitz - Dourdan",,3,,,
DUA800803578,DUA803,"Spécial Tr","Spécial Travaux Versailles Rive Gauche - Invalides",,3,,,
DUA800803587,DUA803,"Spécial Tr","Spécial Travaux Choisy le Roi - Versailles Chantiers",,3,,,
DUA800803571,DUA803,"Spécial Tr","Spécial Travaux Massy palaiseau - Austerlitz",,3,,,
DUA800803575,DUA803,"Spécial Tr","Spécial Travaux Invalides - Dourdan",,3,,,
DUA800803547,DUA803,"Spécial Tr","Spécial Travaux St Martin d'Etampes - Austerlitz",,3,,,
DUA800803512,DUA803,"Spécial Tr","Spécial Travaux Pont de Rungis - Austerlitz",,3,,000000,
DUA800803513,DUA803,"Spécial Tr","Spécial Travaux Versailles Chantiers - Austerlitz",,3,,,
DUA800803509,DUA803,"Spécial Tr","Spécial Travaux Juvisy - St Martin dÆEtampes",,3,,,
DUA800803510,DUA803,"Spécial Tr","Spécial Travaux Juvisy - Dourdan",,3,,,
DUA800803528,DUA803,"Spécial Tr","Spécial Travaux Invalides - Versailles Rive Gauche",,3,,,
DUA800803535,DUA803,"Spécial Tr","Spécial Travaux Dourdan - Austerlitz",,3,,000000,
DUA800803517,DUA803,"Bus","Spécial Travaux Austerlitz - Juvisy",,3,,000000,
DUA800803522,DUA803,"Spécial Tr","Spécial Travaux Brétigny - Dourdan",,3,,,
DUA800804507,DUA804,"Spécial Tr","Spécial Travaux Villeneuve St Georges - Melun",,3,,,
DUA800804508,DUA804,"Spécial Tr","Spécial Travaux Gare de Lyon - Villeneuve St Georges",,3,,000000,
DUA800804500,DUA804,"Spécial Tr","Spécial Travaux Juvisy - Corbeil Essonnes (via Grigny)",,3,,,
DUA800804501,DUA804,"Spécial Tr","Spécial Travaux Stade de France St Denis - Creil",,3,,000000,
DUA800804511,DUA804,"Spécial Tr","Spécial Travaux Juvisy - La Ferté Alais via Grigny",,3,,000000,
DUA800804520,DUA804,"Spécial Tr","Spécial Travaux Creil - Gare de l\&#039;Est",,3,,000000,
DUA800804523,DUA804,"Spécial Tr","Spécial Travaux Corbeil Essonnes - Gare de Lyon via Grigny",,3,,000000,
DUA800804513,DUA804,"Spécial Tr","Spécial Travaux Combs la Ville - Melun",,3,,,
DUA800804518,DUA804,"Spécial Tr","Spécial Travaux Villeneuve St Georges - Gare de Lyon",,3,,000000,
DUA800854533,DUA854,"Spécial Tr","Spécial Travaux Gisors - Boissy l'Aillerie",,3,,,
DUA800854574,DUA854,"Spécial Tr","Spécial Travaux Bécon les Bruyères - Ermont Eaubonne PSL",,3,,,
DUA800854584,DUA854,"Spécial Tr","Spécial Travaux Sartrouville - Clairières de Verneuil",,3,,,
DUA800855501,DUA855,"Spécial Tr","Spécial Travaux La Défense - La Verrière",,3,,,
DUA800854537,DUA854,"Spécial Tr","Spécial Travaux Mantes la Jolie - Vernon",,3,,000000,
DUA800854558,DUA854,"Spécial Tr","Spécial Travaux Sartrouville - Mantes la Jolie",,3,,,
DUA800803122,DUA803,"Bus","Travaux Castor 2014",,3,,000000,
DUA810802066,DUA802,"B","Aéroport CDG 2 TGV => Denfert Rochereau",,2,,000000,
DUA810801043,DUA801,"A","Boissy St Léger => Le Vésinet Le Pecq",,2,,000000,
DUA800803074,DUA803,"C","Boulevard Victor => Brétigny",,2,,000000,
DUA800803100,DUA803,"C","Brétigny => Dourdan",,2,,000000,
DUA800803073,DUA803,"C","Chaville Vélizy => Bibliothèque F Mitterrand",,2,,000000,
DUA800804082,DUA804,"Châtelet =","Châtelet => Corbeil Essonnes via GRIGNY",,2,,000000,
DUA800804081,DUA804,"D","Corbeil Essonnes => Orry la Ville Coye Via EVRY",,2,,000000,
DUA800804084,DUA804,"D","Corbeil Essonnes => Stade de France St Denis via GRIGNY",,2,,000000,
DUA800804400,DUA804,"D","CORBEIL ESSONNES => ST DENIS VIA GRIGNY",,2,,000000,
DUA800804080,DUA804,"Corbeil Es","Corbeil Essonnes => Creil via EVRY",,2,,000000,
DUA800803071,DUA803,"Dourdan =>","Dourdan => St Quentin en Yvelines",,2,,000000,
DUA800804086,DUA804,"D","Gare de Lyon RER => Melun via CORBEIL",,2,,000000,
