stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8731351,"BEAUVAIS",,49.426202,2.088507,,,1,
StopArea:DUA8744895,"BEAUVAIS TILLE AEROPORT",,49.459464,2.110794,,,1,
StopArea:DUA8754573,"BONNEVAL",,48.186437,1.386245,,,1,
StopArea:DUA8754575,"CHATEAUDUN",,48.073407,1.338435,,,1,
StopArea:DUA8727611,"CHANTILLY GOUVIEUX",,49.187334,2.45952,,,1,
StopArea:DUA8727210,"VINEUIL SAINT-FIRMIN",,49.21639,2.491135,,,1,
StopArea:DUA8727211,"COURTEUIL",,49.200838,2.538913,,,1,
StopArea:DUA8727166,"SENLIS",,49.20611,2.592248,,,1,
StopArea:DUA8768100,"CORBEIL ESSONNES",,48.613987,2.47295,,,1,
StopArea:DUA8768160,"ESSONNES ROBINSON",,48.605658,2.46376,,,1,
StopArea:DUA8768161,"VILLABE",,48.593116,2.460933,,,1,
StopArea:DUA8768162,"LE PLESSIS CHENET",,48.573808,2.479469,,,1,
StopArea:DUA8799063,"La Justice",,48.563341,2.495933,,,1,
StopArea:DUA8768163,"LE COUDRAY MONTCEAUX",,48.566281,2.49256,,,1,
StopArea:DUA8754570,"VOVES",,48.274632,1.621499,,,1,
StopArea:DUA8754565,"AUNEAU",,48.445254,1.779584,,,1,
StopArea:DUA8754552,"DOURDAN",,48.533588,2.008998,,,1,
StopArea:DUA8768138,"EVRY COURCOURONNES - Centre",,48.625552,2.428369,,,1,
StopArea:DUA8768136,"EVRY - Val de Seine",,48.634066,2.452447,,,1,
StopArea:DUA8739100,"GARE DE PARIS MONTPARNASSE",,48.842535,2.321907,,,1,
StopArea:DUA8739300,"VERSAILLES CHANTIERS",,48.796332,2.136207,,,1,
StopArea:DUA8739322,"SAINT-CYR",,48.799481,2.071628,,,1,
StopArea:DUA8739384,"SAINT-QUENTIN EN YVELINES",,48.78783,2.043934,,,1,
StopArea:DUA8739383,"TRAPPES",,48.77472,2.006216,,,1,
StopArea:DUA8739325,"LA VERRIERE",,48.755423,1.9437,,,1,
StopArea:DUA8739327,"COIGNIERES",,48.743484,1.921037,,,1,
StopArea:DUA8739328,"LES ESSARTS LE ROI",,48.721871,1.89072,,,1,
StopArea:DUA8739329,"LE PERRAY",,48.693328,1.856726,,,1,
StopArea:DUA8739331,"RAMBOUILLET",,48.643518,1.831689,,,1,
StopArea:DUA8768137,"GRIGNY CENTRE",,48.653329,2.395522,,,1,
StopArea:DUA8754524,"JUVISY",,48.689654,2.382728,,,1,
StopArea:DUA8768139,"LE BRAS DE FER - Evry Génopole",,48.623649,2.450895,,,1,
StopArea:DUA8738189,"CONFLANS SAINTE-HONORINE",,48.995029,2.091966,,,1,
StopArea:DUA8738145,"CONFLANS FIN D'OISE",,48.990102,2.076922,,,1,
StopArea:DUA8738148,"MAURECOURT",,48.988133,2.060185,,,1,
StopArea:DUA8738149,"ANDRESY",,48.975237,2.050147,,,1,
StopArea:DUA8738147,"CHANTELOUP LES VIGNES",,48.971051,2.029414,,,1,
StopArea:DUA8738180,"TRIEL SUR SEINE",,48.980465,2.004915,,,1,
StopArea:DUA8738181,"VAUX SUR SEINE",,49.006866,1.963563,,,1,
StopArea:DUA8738182,"THUN LE PARADIS",,49.006694,1.920239,,,1,
StopArea:DUA8741071,"Arquebuse",,49.004317,1.910716,,,1,
StopArea:DUA8738668,"LES MUREAUX",,48.993124,1.912894,,,1,
StopArea:DUA8741069,"Place du Vexin",,49.004749,1.906825,,,1,
StopArea:DUA8738183,"MEULAN HARDRICOURT",,49.006367,1.900722,,,1,
StopArea:DUA8738155,"JUZIERS",,48.992429,1.845172,,,1,
StopArea:DUA8741085,"Mairie",,48.98801,1.806241,,,1,
StopArea:DUA8738157,"ISSOU PORCHEVILLE",,48.979443,1.785088,,,1,
StopArea:DUA8738158,"LIMAY",,48.984045,1.747081,,,1,
StopArea:DUA58:1120,"Calmette",,48.983762,1.715716,,,1,
