route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
DUA800853100,10857,DUASN048335R04002248225,"48335",1,,
DUA800853100,10164,DUASN038247R02001248226,"38247",1,,
DUA800853100,10074,DUASN048333R03002248227,"48333",1,,
DUA800853100,11343,DUASN048367R04003248228,"48367",1,,
DUA800853100,10074,DUASN048369R04002248229,"48369",1,,
DUA800853100,10164,DUASN048347R03002248230,"48347",1,,
DUA800853100,11347,DUASN048375R03002248231,"48375",1,,
DUA800853100,11318,DUASN048375R03003248232,"48375",1,,
DUA800853100,10164,DUASN048373R04002248233,"48373",1,,
DUA800853100,11348,DUASN038243R02005248234,"38243",1,,
DUA800853100,10017,DUASN038239R01001248235,"38239",1,,
DUA800853100,11343,DUASN048337R04002248236,"48337",1,,
DUA800853100,10017,DUASN048337R04003248237,"48337",1,,
DUA800853100,10164,DUASN038245R02001248238,"38245",1,,
DUA800853100,11349,DUASN038243R02003248239,"38243",1,,
DUA800853100,10857,DUASN038233R01004248240,"38233",1,,
DUA800853100,10857,DUASN048357R05002248241,"48357",1,,
DUA800853100,10074,DUASN048365R04002248242,"48365",1,,
DUA800853100,11346,DUASN048367R04002248243,"48367",1,,
DUA800853100,10074,DUASN048355R04002248244,"48355",1,,
DUA800853100,10017,DUASN048359R04002248245,"48359",1,,
DUA800853100,10017,DUASN038244R02001248246,"38244",1,,
DUA800853100,10857,DUASN038246R02002248247,"38246",1,,
DUA800853100,11344,DUASN038234R02001248248,"38234",1,,
DUA800853100,10857,DUASN048336R03002248249,"48336",1,,
DUA800853100,10017,DUASN038236R02001248250,"38236",1,,
DUA800853100,10074,DUASN048366R03001248251,"48366",1,,
DUA800853100,10074,DUASN048370R03001248252,"48370",1,,
DUA800853100,11342,DUASN048368R03001248253,"48368",1,,
DUA800853100,11343,DUASN038244R02002248254,"38244",1,,
DUA800853100,10896,DUASN048340R03005248255,"48340",1,,
DUA800853100,11345,DUASN048340R03003248256,"48340",1,,
DUA800853100,10164,DUASN048350R03001248257,"48350",1,,
DUA800853100,10074,DUASN048356R03001248258,"48356",1,,
DUA800853100,10857,DUASN048358R03004248259,"48358",1,,
DUA800853100,11339,DUASN048362R03004248260,"48362",1,,
DUA800853100,11340,DUASN048364R03001248261,"48364",1,,
DUA800853100,10164,DUASN038248R02001248262,"38248",1,,
DUA800853100,10857,DUASN048334R05003248263,"48334",1,,
DUA800853100,10164,DUASN038250R01001248264,"38250",1,,
DUA800853100,11341,DUASN048374R01001248265,"48374",1,,
DUA800853100,10164,DUASN048376R03001248266,"48376",1,,
DUA800803102,10166,DUASN042635R01001248267,"42635",1,,
DUA800803102,10166,DUASN042633R01001248268,"42633",1,,
DUA800803102,10165,DUASN032545R01001248269,"32545",1,,
DUA800803102,10166,DUASN042637R01001248270,"42637",1,,
DUA800803102,10168,DUASN042631R01001248271,"42631",1,,
DUA800803102,10167,DUASN042517R01001248272,"42517",1,,
DUA800803102,10164,DUASN032557R01001248273,"32557",1,,
DUA800803102,10164,DUASN032571R01001248274,"32571",1,,
DUA800803102,10163,DUASN032569R02001248275,"32569",1,,
DUA800803102,10162,DUASN032563R01001248276,"32563",1,,
DUA800803102,10163,DUASN032555R01001248277,"32555",1,,
DUA800803102,10165,DUASN032547R01001248278,"32547",1,,
DUA800803102,10074,DUASN032561R01001248279,"32561",1,,
DUA800803102,10170,DUASN042511R01001248280,"42511",1,,
DUA800803102,10170,DUASN042505R01001248281,"42505",1,,
DUA800803102,10163,DUASN032551R01001248282,"32551",1,,
DUA800803102,10167,DUASN042509R01001248283,"42509",1,,
DUA800803102,10170,DUASN042507R02001248284,"42507",1,,
DUA800803102,10167,DUASN042513R01002248285,"42513",1,,
DUA800803102,10162,DUASN032543R01002248286,"32543",1,,
DUA800803102,10166,DUASN042639R01001248287,"42639",1,,
DUA800803102,10169,DUASN042645R01001248288,"42645",1,,
DUA800803102,10169,DUASN042643R01001248289,"42643",1,,
DUA800803102,10167,DUASN042503R01001248290,"42503",1,,
DUA800803102,10167,DUASN042501R01001248291,"42501",1,,
DUA800803102,10169,DUASN042641R01001248292,"42641",1,,
DUA800803102,10167,DUASN042522R01001248293,"42522",1,,
DUA800803102,10166,DUASN042630R01001248294,"42630",1,,
DUA800803102,10166,DUASN042634R01001248295,"42634",1,,
DUA800803102,10171,DUASN042524R01001248296,"42524",1,,
DUA800803102,10169,DUASN042646R01001248297,"42646",1,,
DUA800803102,10169,DUASN042644R01001248298,"42644",1,,
DUA800803102,10166,DUASN042636R01001248299,"42636",1,,
DUA800803102,10168,DUASN042632R01001248300,"42632",1,,
DUA800803102,10164,DUASN032574R02001248301,"32574",1,,
DUA800803102,10164,DUASN032570R01001248302,"32570",1,,
DUA800803102,10163,DUASN032566R02001248303,"32566",1,,
DUA800803102,10162,DUASN032560R01001248304,"32560",1,,
DUA800803102,10163,DUASN032550R01001248305,"32550",1,,
DUA800803102,10074,DUASN032548R01001248306,"32548",1,,
DUA800803102,10165,DUASN032544R01001248307,"32544",1,,
DUA800803102,10173,DUASN042516R01002248308,"42516",1,,
DUA800803102,10171,DUASN042510R01001248309,"42510",1,,
DUA800803102,10163,DUASN032556R01002248310,"32556",1,,
DUA800803102,10173,DUASN042518R01001248311,"42518",1,,
DUA800803102,10170,DUASN042514R01001248312,"42514",1,,
DUA800803102,10175,DUASN042512R01002248313,"42512",1,,
DUA800803102,10174,DUASN042516R01001248314,"42516",1,,
DUA800803102,10162,DUASN032542R01001248315,"32542",1,,
DUA800803102,10172,DUASN042640R01001248316,"42640",1,,
DUA800803102,10166,DUASN042638R01001248317,"42638",1,,
DUA800803102,10166,DUASN042642R01001248318,"42642",1,,
DUA800803102,10167,DUASN042520R01001248319,"42520",1,,
DUA800803102,10167,DUASN042500R01001248320,"42500",1,,
DUA800803102,10170,DUASN042508R01001248321,"42508",1,,
DUA800803102,10171,DUASN042504R01001248322,"42504",1,,
DUA800853103,10164,DUASN048209R01001255718,"48209",1,,
DUA800853103,10074,DUASN048225R01002255719,"48225",1,,
DUA800853103,10074,DUASN048219R01002255720,"48219",1,,
DUA800853103,10319,DUASN048179R01002255721,"48179",1,,
